col,Kingdom,Phylum,Class,Order,Family,Genus,Species,ID,i,Correlation,pval,pseudoF,permanova_pval,weight
k__Bacteria;p__FBP;c__;o__;f__;g__;s__,k__Bacteria,p__FBP,c__,o__,f__,g__,s__,V73,73,0.9755156402020893,0.5,35.29023529607315,0.5,1.236226916167664e-6
k__Bacteria;p__Firmicutes;__;__;__;__;__,k__Bacteria,p__Firmicutes,__,__,__,__,__,V74,74,0.4641370451440302,0.5,14.658466983593614,0.5,1.2998032838633536e-5
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,__,__,V75,75,0.9991658243939118,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anaerobacillus;s__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Anaerobacillus,s__,V76,76,0.8343523568388602,0.5,31.66608283058806,0.5,1.632078225468165e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,__,V77,77,0.9991658243939117,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__clausii,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__clausii,V78,78,0.8745174034858508,0.5,32.59464451992904,0.5,1.5267370233584e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,__,V79,79,0.9991658243939117,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,__,__,V80,80,0.9991658243939117,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,__,V81,81,0.6454486627923294,0.5,37.52165826231382,0.5,2.6834095137245535e-5
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae];__;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__[Exiguobacteraceae],__,__,V82,82,0.9991658243939117,0.5,37.28171611049831,0.5,1.0032840684156482e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,__,__,__,V83,83,0.7694375288530877,0.5,28.743528997370092,0.5,2.1709933011528062e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,__,V84,84,0.35328210832991996,0.5,8.212070780190281,0.5,2.066125821302804e-4
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;__;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,__,__,V85,85,0.9268427215819061,0.5,32.85797565707641,0.5,1.4995002394750717e-6
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,__,V86,86,0.9493248462107569,0.5,31.721739578409046,0.5,0.10392315597331271
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__,V87,87,0.8769799062798433,0.5,28.471130011805737,0.5,0.1027263247704485
