fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass,Labels
1,7,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9479328052943621,0.9753940017661594,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07785883374975996,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647179487179487,1,rf,2,C3H,True
2,7,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9514846874506377,0.9555646137757401,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,41,0.07063074580893666,1,0.8502380952380953,1,1,1,1,1,1,1,1,1,0.4636923076923077,1,rf,2,C3H,True
3,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9502873877716324,0.9627990912572602,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.07694658721628503,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
4,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9504160802386838,0.9672963370737111,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07406442549555309,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
5,7,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9504636953452285,0.9754223867839187,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07217831012004863,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
6,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9599189855592697,0.9475328854937338,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07469057564586935,1,0.8525,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
7,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9493022298413105,0.9688045809502338,1,1,1,1,1,1,1,0.5,0.5,0.5,1,46,0.08067514045732559,1,0.8520238095238096,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
8,7,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9518556044948236,0.9788437231442122,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07181672947654111,1,0.8552380952380954,1,1,1,1,1,1,1,1,1,0.4647179487179487,1,rf,2,C3H,True
9,7,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9470854996053453,0.9807000071756108,1,1,1,1,1,1,1,0.375,0.375,0.375,1,44,0.07605301390913884,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.47134065934065933,1,rf,2,C3H,True
10,7,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9471791478063509,0.978304270460251,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07343647745189569,1,0.8520238095238096,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
1,8,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.953521692311153,0.9672220087675374,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,46,0.07737884358069079,1,0.8548809523809524,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
2,8,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9575312092697934,0.9826119660010143,1,1,1,1,1,1,1,0.5,0.5,0.5,1,47,0.08029184499774925,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
3,8,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9502591326538429,0.9727174897143765,1,1,1,1,1,1,1,0.375,0.375,0.375,1,41,0.06988528098562374,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.4713846153846154,1,rf,2,C3H,True
4,8,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9467436297342485,0.969801989153426,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07411625454454904,1,0.8503571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
5,8,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9503034527265625,0.9779219154959303,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,45,0.0800063391698881,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.46474725274725276,1,rf,2,C3H,True
6,8,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9501308812313289,0.9776657987422546,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07592093623584414,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
